,Zeit,Temperatur,Druck,Luftfeuchtigkeit
234,2020/02/29 - 09:19:00,20.8,990.0,33.6
235,2020/02/29 - 09:19:05,20.7,990.0,33.9
236,2020/02/29 - 09:19:10,20.4,990.0,34.3
237,2020/02/29 - 09:19:15,20.3,990.0,34.4
238,2020/02/29 - 09:19:20,20.1,990.0,34.6
239,2020/02/29 - 09:19:25,20.2,990.0,34.7
240,2020/02/29 - 09:19:30,20.1,990.0,35.0
241,2020/02/29 - 09:19:35,20.2,990.0,35.1
242,2020/02/29 - 09:19:40,20.1,990.0,35.3
243,2020/02/29 - 09:19:45,20.1,990.0,35.4
244,2020/02/29 - 09:19:50,20.1,990.0,35.4
245,2020/02/29 - 09:19:55,20.1,990.0,35.4
246,2020/02/29 - 09:20:00,20.1,990.0,35.3
247,2020/02/29 - 09:20:05,20.1,990.0,35.2
248,2020/02/29 - 09:20:10,20.0,990.0,35.3
249,2020/02/29 - 09:20:15,20.0,990.0,35.4
250,2020/02/29 - 09:20:20,20.0,990.0,35.6
251,2020/02/29 - 09:20:25,20.0,990.0,35.5
252,2020/02/29 - 09:20:30,20.0,990.0,35.4
253,2020/02/29 - 09:20:35,20.0,990.0,35.4
254,2020/02/29 - 09:20:40,20.0,990.0,35.4
255,2020/02/29 - 09:20:45,20.0,990.0,35.6
256,2020/02/29 - 09:20:50,19.9,990.0,35.6
257,2020/02/29 - 09:20:55,19.9,990.0,35.6
258,2020/02/29 - 09:21:00,19.9,990.0,35.6
259,2020/02/29 - 09:21:05,19.9,990.0,35.7
260,2020/02/29 - 09:21:10,19.9,990.0,35.8
261,2020/02/29 - 09:21:15,19.9,990.0,35.7
262,2020/02/29 - 09:21:20,19.9,990.0,35.7
263,2020/02/29 - 09:21:25,19.9,990.0,35.8
264,2020/02/29 - 09:21:30,19.9,990.0,35.8
265,2020/02/29 - 09:21:35,19.9,990.0,35.8
266,2020/02/29 - 09:21:40,19.9,990.0,36.1
267,2020/02/29 - 09:21:45,19.8,990.0,35.9
268,2020/02/29 - 09:21:50,19.9,990.0,36.0
269,2020/02/29 - 09:21:55,19.8,990.0,36.0
270,2020/02/29 - 09:22:00,19.8,990.0,35.9
271,2020/02/29 - 09:22:05,19.8,990.0,36.1
272,2020/02/29 - 09:22:10,19.8,990.0,36.3
273,2020/02/29 - 09:22:15,19.8,990.0,36.1
274,2020/02/29 - 09:22:20,19.8,990.0,36.1
275,2020/02/29 - 09:22:25,19.8,990.0,36.2
276,2020/02/29 - 09:22:30,19.8,990.0,36.2
277,2020/02/29 - 09:22:35,19.7,990.0,36.3
278,2020/02/29 - 09:22:40,19.7,990.0,36.3
279,2020/02/29 - 09:22:45,19.7,990.0,36.4
280,2020/02/29 - 09:22:50,19.7,990.0,36.3
281,2020/02/29 - 09:22:55,19.7,990.0,36.3
282,2020/02/29 - 09:23:00,19.6,990.0,36.6
283,2020/02/29 - 09:23:05,19.6,990.0,36.6
284,2020/02/29 - 09:23:10,19.6,990.0,36.5
285,2020/02/29 - 09:23:15,19.6,990.0,36.6
286,2020/02/29 - 09:23:20,19.6,990.0,36.6
287,2020/02/29 - 09:23:25,19.5,990.0,36.7
